1,1539
0,1546
0,1553
0,1560
1,1567
1,1575
2,1583
2,1590
2,1598
3,1605
4,1613
4,1621
5,1629
7,1637
8,1645
10,1653
12,1660
13,1667
15,1674
17,1682
19,1689
20,1697
22,1705
23,1713
24,1721
26,1729
27,1736
28,1744
30,1752
32,1760
34,1768
37,1776
39,1783
41,1791
42,1798
44,1806
46,1814
48,1822
48,1830
49,1838
50,1846
50,1854
51,1862
51,1869
51,1877
51,1884
52,1892
52,1899
53,1906
53,1914
54,1922
55,1930
55,1937
55,1945
55,1952
54,1960
54,1968
52,1976
51,1983
50,1991
48,1998
47,2006
44,2014
42,2022
40,2029
38,2037
36,2045
33,2052
30,2060
27,2068
24,2076
21,2084
18,2092
15,2099
12,2107
9,2115
7,2122
5,2129
3,2137
1,2145
0,2153
1,2161
2,2168
2,2176
3,2183
3,2191
3,2198
3,2206
4,2214
4,2221
4,2228
4,2236
3,2244
3,2252
3,2260
4,2268
4,2276
5,2284
5,2292
6,2299
7,2307
8,2315
9,2323
11,2331
12,2339
14,2346
16,2353
17,2361
19,2367
20,2375
22,2383
23,2391
24,2399
25,2407
26,2415
27,2423
28,2432
28,2440
29,2448
30,2456
30,2464
31,2472
31,2479
32,2487
33,2495
34,2503
35,2510
36,2517
37,2524
38,2532
39,2539
39,2546
40,2554
41,2562
41,2570
41,2577
41,2584
41,2591
41,2598
41,2606
41,2614
40,2622
40,2630
39,2637
39,2645
38,2653
38,2660
37,2668
37,2675
36,2682
35,2689
34,2697
33,2705
33,2713
32,2722
31,2729
30,2737
29,2744
29,2752
28,2760
26,2768
25,2775
24,2783
22,2791
21,2798
19,2805
18,2813
16,2821
14,2829
13,2836
11,2843
10,2850
8,2858
7,2866
6,2874
6,2881
5,2889
4,2895
3,2902
2,2910
1,2917
0,2925
0,2933
1,2941
2,2949
3,2956
4,2963
5,2971
6,2979
7,2987
8,2995
9,3003
11,3011
12,3019
13,3027
14,3035
15,3042
16,3050
17,3058
18,3065
19,3073
20,3081
21,3089
22,3096
23,3103
24,3111
25,3119
25,3127
26,3134
27,3143
28,3151
29,3158
30,3167
31,3175
33,3182
34,3189
35,3197
37,3205
38,3213
39,3220
41,3228
42,3236
43,3244
44,3252
44,3260
44,3267
45,3274
45,3282
45,3290
46,3298
46,3305
47,3313
47,3321
48,3329
49,3337
49,3344
50,3351
51,3359
51,3366
52,3374
53,3382
53,3390
54,3397
54,3405
55,3413
55,3421
55,3429
55,3436
54,3444
53,3452
51,3460
49,3468
47,3475
44,3482
42,3490
39,3498
36,3505
32,3513
29,3521
26,3529
